Date, Close/Last, Volume, Open, High, Low
06/21/2019, $371.84, 4923678, $374.39, $376.11, $371.72
06/20/2019, $374.88, 3794488, $373, $375.79, $368.96
06/19/2019, $368.56, 5715985, $375.4, $379.31, $368.35
06/18/2019, $373.96, 9199161, $357.61, $374.65, $357.6
06/17/2019, $354.9, 3746426, $348.62, $356.05, $347.05
06/14/2019, $347.16, 2258374, $348, $349.17, $345.885
06/13/2019, $348.86, 2621303, $347.25, $349.06, $344.1
06/12/2019, $347.03, 2738326, $349, $349.27, $342.795
06/11/2019, $349.33, 2702727, $355.42, $355.473, $348.13
06/10/2019, $353.8, 2560805, $356, $357.4, $353.55
06/07/2019, $353.7, 2470694, $352.3, $355.28, $352.3
06/06/2019, $350.64, 2582259, $348.18, $351.64, $345.58
06/05/2019, $348.75, 3188375, $346.22, $353.25, $332.49
06/04/2019, $344.62, 3592323, $342.57, $346.41, $340.12
06/03/2019, $338.89, 5148019, $338.2, $339.11, $330.67
05/31/2019, $341.61, 3217646, $345.85, $345.85, $341.36
05/30/2019, $349.87, 2183884, $350, $351.92, $347.9366
05/29/2019, $348.8, 4160546, $352.59, $352.79, $346.05
05/28/2019, $354.88, 3504281, $355.29, $359.31, $354.88
05/24/2019, $354.9, 5387544, $355, $361.4, $353
05/23/2019, $350.55, 5305388, $345.92, $351.47, $341.15
05/22/2019, $352.78, 3841430, $357.22, $357.57, $351.75
05/21/2019, $358.75, 4022572, $358.03, $360.77, $354.88
05/20/2019, $352.79, 3219868, $353, $355.9406, $350.53
05/17/2019, $355.02, 5282942, $351.5, $359.99, $351.1636
05/16/2019, $353.81, 6036506, $348.64, $356.5, $345.82
05/15/2019, $345.64, 4809967, $339.8, $348.7999, $337.64
05/14/2019, $343.04, 4747753, $339.9, $346.1, $337.2289
05/13/2019, $337.37, 7757832, $344.51, $346.63, $337
05/10/2019, $354.67, 4574070, $351.87, $355.54, $347.55
05/09/2019, $354.13, 6075156, $354.76, $355.65, $347.47
05/08/2019, $359.75, 6029997, $357.77, $361.52, $353.33
05/07/2019, $357.23, 9740301, $366.33, $367.71, $355.02
05/06/2019, $371.6, 4747601, $367.88, $372.48, $365.63
05/03/2019, $376.46, 2953838, $376.08, $377.9, $374.22
